Time1,Time2,BT,ET,Event,Gas*30,Extra 2,"Gas*10""WC",Extra 2
00:09,00:00,391.29,378.795,Ch,181.46,1.57,15.73,1
00:12,00:03,388.125,377.025,,181.54,1.58,15.77,1
00:15,00:06,350.735,356.23,,181.72,1.59,15.86,1
00:18,00:09,305.495,339.96,,181.54,1.58,15.77,1
00:24,00:14,249.94,323.88,,181.72,1.59,15.86,1
00:27,00:18,225.025,315.89,,181.76,1.59,15.88,1
00:30,00:21,209.53,312.37,,181.42,1.57,15.71,1
00:33,00:24,198.985,310.605,,181.26,1.56,15.63,1
00:36,00:27,190.52,308.62,,181.62,1.58,15.81,1
00:39,00:30,184.71,307.555,,181.14,1.56,15.57,1
00:42,00:33,180.91,306.915,,181.44,1.57,15.72,1
00:45,00:36,178.29,306.26,,181.5,1.57,15.75,1
00:48,00:39,176.505,305.525,,181.66,1.58,15.83,1
00:51,00:42,176.37,305.425,TP,181.36,1.57,15.68,1
00:54,00:45,176.97,305.91,,181.24,1.56,15.62,1
00:57,00:48,177.27,305.885,,181.46,1.57,15.73,1
01:00,00:51,178.46,306.225,,181.36,1.57,15.68,1
01:03,00:54,179.98,307.26,,181.42,1.57,15.71,1
01:06,00:57,182.38,307.455,,181.6,1.58,15.8,1
01:09,01:00,184.685,307.395,,181.62,1.58,15.81,1
01:12,01:03,187.105,307.385,,181.42,1.57,15.71,1
01:15,01:06,189.67,308.045,,181.08,1.55,15.54,1
01:18,01:09,192.48,308.345,,181.48,1.57,15.74,1
01:21,01:12,195.7,308.465,,181.32,1.57,15.66,1
01:24,01:14,197.81,309.53,,181.22,1.56,15.61,1
01:27,01:18,200.945,310.37,,181.6,1.58,15.8,1
01:30,01:21,203.55,310.72,,181.12,1.56,15.56,1
01:33,01:24,206.425,310.385,,181.34,1.57,15.67,1
01:36,01:27,209.195,310.925,,181.36,1.57,15.68,1
01:39,01:30,211.755,310.995,,181.5,1.57,15.75,1
01:42,01:33,214.575,311.16,,181.3,1.56,15.65,1
01:45,01:36,217.53,313.085,,235.86,4.29,42.93,1
01:48,01:39,219.77,317.345,,239.12,4.46,44.56,1
01:51,01:42,222.215,321.79,,237.7,4.38,43.85,1
01:54,01:45,224.455,324.795,,238.22,4.41,44.11,1
01:57,01:48,226.875,327.43,,239.1,4.46,44.55,1
02:00,01:51,229.09,330.92,,237.86,4.39,43.93,1
02:03,01:54,231.545,333.43,,238.36,4.42,44.18,1
02:06,01:57,233.95,334.87,,238.68,4.43,44.34,1
02:09,02:00,236.265,335.755,,238.7,4.43,44.35,1
02:12,02:03,238.735,337.12,,238.42,4.42,44.21,1
02:15,02:06,241.045,339.27,,238.16,4.41,44.08,1
02:18,02:09,243.34,340.81,,238.96,4.45,44.48,1
02:21,02:12,245.42,342.225,,238.34,4.42,44.17,1
02:24,02:15,247.875,343.795,,238.4,4.42,44.2,1
02:27,02:18,250.1,344.98,,238.92,4.45,44.46,1
02:30,02:21,251.955,345.765,,238.36,4.42,44.18,1
02:33,02:24,254.225,346.525,,237.7,4.38,43.85,1
02:36,02:27,256.785,347.49,,238.74,4.44,44.37,1
02:39,02:30,259.065,348.6,,238.1,4.41,44.05,1
02:42,02:33,261.005,349.295,,238.36,4.42,44.18,1
02:45,02:36,263.13,350.04,,238.88,4.44,44.44,1
02:48,02:39,265.29,351.29,,237.68,4.38,43.84,1
02:51,02:42,267.145,353.035,,238.26,4.41,44.13,1
02:54,02:44,268.89,354.23,,238.68,4.43,44.34,1
02:57,02:48,270.9,356.565,,237.56,4.38,43.78,1
03:00,02:51,272.875,357.29,,238.2,4.41,44.1,1
03:03,02:54,275.025,357.92,,238.56,4.43,44.28,1
03:06,02:57,277.01,359.195,,238.78,4.44,44.39,1
03:09,03:00,279.015,360.29,,238.3,4.42,44.15,1
03:12,03:03,280.87,360.195,,237.82,4.39,43.91,1
03:15,03:06,282.655,360.37,,238.58,4.43,44.29,1
03:18,03:09,284.64,361.375,,238.2,4.41,44.1,1
03:21,03:12,286.61,362.2,,237.88,4.39,43.94,1
03:24,03:15,288.195,362.135,,238.76,4.44,44.38,1
03:27,03:18,289.82,361.93,,238.1,4.41,44.05,1
03:30,03:21,291.61,362.88,,237.58,4.38,43.79,1
03:33,03:24,293.385,364.11,,238.58,4.43,44.29,1
03:36,03:27,295.205,365.165,,238.08,4.4,44.04,1
03:39,03:30,297.27,366.165,,238.12,4.41,44.06,1
03:42,03:33,298.83,366.635,,238.98,4.45,44.49,1
03:45,03:36,300.255,367.62,,237.66,4.38,43.83,1
03:48,03:39,301.785,368.77,,238.16,4.41,44.08,1
03:51,03:42,303.405,369.82,,238.32,4.42,44.16,1
03:54,03:45,305.015,371.015,,237.62,4.38,43.81,1
03:57,03:48,306.405,371.895,,238.08,4.4,44.04,1
04:00,03:51,307.885,372.04,,238.48,4.42,44.24,1
04:03,03:54,309.425,372.235,,238.94,4.45,44.47,1
04:06,03:57,311.075,373.46,,238.36,4.42,44.18,1
04:09,04:00,312.465,374.81,,237.6,4.38,43.8,1
04:12,04:03,314.14,375.375,,238.58,4.43,44.29,1
04:15,04:06,315.805,375.875,DE,238.12,4.41,44.06,1
04:18,04:09,317.33,376.335,,237.84,4.39,43.92,1
04:21,04:12,319.2,377.02,,238.82,4.44,44.41,1
04:24,04:15,320.72,378.315,,237.98,4.4,43.99,1
04:27,04:18,322.46,378.995,,237.68,4.38,43.84,1
04:30,04:21,323.535,379.72,,238.62,4.43,44.31,1
04:33,04:24,324.72,379.775,,237.94,4.4,43.97,1
04:36,04:27,326.145,379.425,,238.14,4.41,44.07,1
04:39,04:30,327.605,378.245,,239.02,4.45,44.51,1
04:42,04:33,329.1,379.9,,237.52,4.38,43.76,1
04:45,04:36,330.485,381.205,,238.08,4.4,44.04,1
04:48,04:39,332.16,382.24,,238.28,4.41,44.14,1
04:51,04:42,333.555,382.3,,224.34,3.72,37.17,1
04:54,04:44,334.37,382.25,,223.66,3.68,36.83,1
04:57,04:48,336.445,382.005,,223.88,3.69,36.94,1
05:00,04:51,337.84,382.545,,224.4,3.72,37.2,1
05:03,04:54,338.96,382.345,,223.72,3.69,36.86,1
05:06,04:57,340.075,383.4,,223.24,3.66,36.62,1
05:09,05:00,341.135,384.545,,223.94,3.7,36.97,1
05:12,05:03,342.51,384.81,,223.74,3.69,36.87,1
05:15,05:06,343.66,385.35,,223.98,3.7,36.99,1
05:18,05:09,345.11,385.435,,224.22,3.71,37.11,1
05:21,05:12,346.395,385.87,,223.5,3.67,36.75,1
05:24,05:15,347.425,387.44,,223.74,3.69,36.87,1
05:27,05:18,348.78,388.46,,224.36,3.72,37.18,1
05:30,05:21,350.215,389.125,,223.38,3.67,36.69,1
05:33,05:24,351.515,388.855,,223.92,3.7,36.96,1
05:36,05:27,352.55,389,,223.84,3.69,36.92,1
05:39,05:30,353.615,389.39,,213.44,3.17,31.72,1
05:42,05:33,354.665,388.645,,210.7,3.04,30.35,1
05:45,05:36,355.77,387.09,,210.32,3.02,30.16,1
05:48,05:39,357.12,386.325,,211.08,3.05,30.54,1
05:51,05:42,358.405,386.685,,210.62,3.03,30.31,1
05:54,05:44,359.48,386.94,,210.58,3.03,30.29,1
05:57,05:48,360.575,387.3,,211.14,3.06,30.57,1
06:00,05:51,361.61,387.945,,210.38,3.02,30.19,1
06:03,05:54,362.4,388.65,,210.66,3.03,30.33,1
06:06,05:57,363.245,389.34,,211.02,3.05,30.51,1
06:09,06:00,364.355,389.05,,211.2,3.06,30.6,1
06:12,06:03,365.345,389.415,,210.78,3.04,30.39,1
06:15,06:06,366.52,389.91,,210.38,3.02,30.19,1
06:18,06:09,367.495,390.64,,210.98,3.05,30.49,1
06:21,06:12,368.59,391.12,,210.62,3.03,30.31,1
06:24,06:15,369.615,391.445,,210.28,3.01,30.14,1
06:27,06:18,370.64,392.23,,210.84,3.04,30.42,1
06:30,06:21,371.63,392.68,,210.64,3.03,30.32,1
06:33,06:24,372.465,392.455,,210.74,3.04,30.37,1
06:36,06:27,373.315,392.02,,211.12,3.06,30.56,1
06:39,06:30,374.4,392.645,,210.48,3.02,30.24,1
06:42,06:33,375.255,393.33,,210.9,3.04,30.45,1
06:45,06:36,376.25,393.07,,210.72,3.04,30.36,1
06:48,06:39,377.075,392.97,,211.14,3.06,30.57,1
06:51,06:42,377.985,393.815,,210.66,3.03,30.33,1
06:54,06:45,378.85,394.96,,210.5,3.02,30.25,1
06:57,06:48,379.42,395.735,,211.02,3.05,30.51,1
07:00,06:51,380.09,396.15,,210.72,3.04,30.36,1
